country,product_desc,city,source,buyer_name,hs_code,email
PH,cosmetics,Baguio City,KOTRA_SNS,S&L International,330499.0,
JO,Cosmetics and IT,Amman,KOTRA_SNS,Compass for Security System,330499.0,
AE,Cosmetics,Sharjah,KOTRA_SNS,Al Amazon building construction llc,330499.0,
OM,cosmetics,Sohar,KOTRA_SNS,University of Technology and Applied Sciences,330499.0,
MA,Esthetic professional products,Casablanca,KOTRA_SNS,Global Hygienic group,330499.0,
EG,cosmetics,Cairo,KOTRA_SNS,gh,330499.0,
EG,cosmetics,Alexandria,KOTRA_SNS,Aboelsoud Import & Export Co.EGYPT,330300.0,
TR,car wash machines,Konya,KOTRA_SNS,optimum makine,330499.0,
EG,Cosmetics and make up,Cairo,KOTRA_SNS,MKUP,330420.0,
AE,Skin care,Dubai,KOTRA_SNS,Neo news,330499.0,
JP,Cosmetics,Yokohama,KOTRA_SNS,Shonan Izumi Hospital,330499.0,
JP,beauty care and makeup,wakabayashi,KOTRA_SNS,Happy tex international,330499.0,
JP,Cosmetic,Yokohama,KOTRA_SNS,Tokyo Institute of Technology,330499.0,
JP,Make up,Hamamatsu,KOTRA_SNS,Special nursing home,330420.0,
PE,beauty,Lima,KOTRA_SNS,ibs support sac,330499.0,
EC,cosmtics,Cuenca,KOTRA_SNS,marcapura,330499.0,
CL,Cosmetics,Santiago,KOTRA_SNS,Banco Santander,3304991000.0,
CO,make up and skin care,Bucaramanga,KOTRA_SNS,garantisa,330499.0,
MX,"make up, skin care products",Oaxaca de Jurez,KOTRA_SNS,n,330491.0,
PE,"Make up, boy bands",Arequipa,KOTRA_SNS,Chapra store,330499.0,
PE,Lipstick,Hunuco,KOTRA_SNS,The playful english Academy,330410.0,
CO,Cosmetics,Villavicencio,KOTRA_SNS,D&C GROUP COSMETIC SAS,330499.0,
ES,cosmetics,Alicante,KOTRA_SNS,Karina Montoya,330499.0,
MX,Makeup,Mexico City,KOTRA_SNS,Laboratorios DermaStore,330499.0,
CO,Belleza,Villavicencio,KOTRA_SNS,JJ'S Pizzeria,330499.0,
PE,make up,Huancayo,KOTRA_SNS,Tarjeta Naranja,330499.0,
BR,Skincare and makeup,Florianpolis,KOTRA_SNS,Loja infinita,330499.0,
